id;autors;fecha_nato
72736;Sarah B. Diamond;1979-10-10
72737;Paul J. Meyer;1976-07-21
72738;James McManus;1931-08-11
72739;Richard Zakin;1903-01-13
72740;Ross Ramsay;1919-09-21
72741;Wayne Schoenfeld;1937-03-02
72742;William Chester Jordan;2014-08-06
72743;Anthony M. Esolen;1915-01-14
72744;Brian Dullaghan;1952-06-29
72745;Nerin E. Gun;1950-02-19
72746;Heinz Schreckenberg;1986-10-22
72747;Bill Severn;1992-10-30
72748;Pamela Bradley;1925-10-18
72749;Bryan W. Barry;1900-07-20
72750;Cassandra Doe;1996-07-30
72751;Chester A. Wright;1939-01-13
72752;Herbert John McCaslin;2001-05-03
72753;Eric W. Robinson;1920-06-25
72754;Faculty Awards;1958-08-16
72755;Gerald Milnes;1976-12-09
72756;Graham D Rowles;1938-06-27
72757;Israel Getzler;1994-08-26
72758;A.S. Byatt;1988-01-29
72759;Juanita Coulson;1958-07-31
72760;Stanley Dunn;1950-03-23
72761;George Lyon;1956-08-26
72762;Irving Kristol;1920-03-04
72763;Steve Terrell;2000-02-06
72764;Robert Lichti;2010-04-26
72765;Merriman Roger Bigelow;1954-03-07
72766;Sarah C. Rich;1963-12-03
72767;J. Dino Delano;1964-01-26
72768;United States. Congress. House. Committee on Appropriations;1957-02-20
72769;Ronald B. Sakolsky;1985-11-01
72770;Shawn Phillips;1930-08-08
72771;Martin Dunford;1991-11-30
72772;Gary Lewis;1938-12-28
72773;Janet Burroway;1967-12-13
72774;Cheddi Jagan;1914-05-11
72775;Gail Gibbins;1969-02-12
72776;John Glenn;2010-06-13
72777;Jeff Black;1957-01-18
72778;Kenton Robinson;1986-09-06
72779;Tim Winter;2010-09-30
72780;Total Class Notes;1990-12-11
72781;Godfrey Devereux;1907-11-21
72782;Roger W. Cliffe;1985-03-12
72783;Gareth Thomas;1917-12-13
72784;Clare Kostelnick;1930-02-06
72785;John Winton;1997-09-23
72786;Radha Jagannathan;1909-11-28
72787;Rion Klawinski;1922-01-15
72788;Robert Copland;2009-01-14
72789;Sarah Hall;1958-03-18
72790;Claudia Courtney;1924-05-16
72791;Joe Oldham;1973-09-14
72792;Kazimierz Kuratowski;2009-11-13
72793;Olive Barber;1950-04-06
72794;Lisa M. Bitel;1919-10-22
72795;John W. Fountain;1984-05-28
72796;"Charles Leonhard; Robert W. House";2017-05-15
72797;Fernando Sabino;1949-10-14
72798;Edward Butscher;1912-03-02
72799;Sally Bushell;2002-01-18
72800;Lorraine Cook White;1952-01-28
72801;Juliana Baldec;1938-02-08
72802;Sharon Snow Sirois;2006-08-21
72803;Michael Barzelay;1995-01-31
72804;Camilla Isley;2012-08-22
72805;Sylvan David Schwartzman;1948-01-23
72806;Jack Dunsmoor;2004-08-13
72807;John D. Stewart;2021-12-12
72808;Samuel Arthur Jones;1961-05-16
72809;James Allan Matté;1941-03-22
72810;Clarence Jordan;1976-06-28
72811;Qimao Zhang;2001-03-10
72812;Timothy J. Gardner;1984-12-12
72813;Carrie Doehring;1987-09-23
72814;William H. Rehnquist;1904-06-10
72815;Harry E. Chambers;1941-01-08
72816;Christina Brown;1922-01-26
72817;D. Benjamin Barros;1974-03-27
72818;The Museum of the City of New York;1904-04-27
72819;Daniel T. Banach;1907-05-25
72820;Faye Dunaway;1979-02-26
72821;Craig D. Hillis;1942-06-12
72822;Jack R. Binns;1907-03-04
72823;James Halliday;1981-08-28
72824;Paul R. Carlson, EdD;1911-08-16
72825;Connie Wanek;1986-12-17
72826;Alan M. Brooker;2005-05-07
72827;Andrew J. Dilk;1964-07-29
72828;Tracy Sinclair;1910-09-03
72829;Jacob Williams;1986-06-30
72830;Charles Henry Chandler;1959-08-21
72831;Christo Georgiev;1930-01-14
72832;Walter M. (Walter Marion) 186 Chandler;2000-05-21
72833;Florence Given;1911-01-14
72834;James Woodress;1972-05-11
72835;Thomas F. Sheehan;1944-03-19
72836;Jan Moeller;1921-08-27
72837;Robert Bohm;1978-05-19
72838;Katerina Koci;1986-12-10
72839;Laura Ackerman Smoller;2009-11-02
72840;Ileana Abrev;2019-08-14
72841;Kenn Oberrecht;1904-08-05
72842;Michael L. Cooper;1991-07-08
72843;Stephen M. Reed;1941-05-06
72844;Canadian Bible Society;1984-10-13
72845;Joseph Jerry PERLING;2004-08-18
72846;Barbara Orehovec;2009-03-23
72847;Johann Christoph Arnold;1903-09-07
72848;Christian C. Patrick;1988-12-07
72849;Roy M. Stanley;1987-03-12
72850;Gaia Servadio;1936-04-28
72851;Martha P. Leape;1908-05-16
72852;M. K. Akbar;1914-01-23
72853;Richard Firstman;1960-06-18
72854;Colleen Quinn;2015-09-06
72855;Eugene Krohn;1991-04-16
72856;Carl McGown;1969-06-08
72857;Wynn F. Foster;1976-08-10
72858;Eliot Elisofon;1906-04-08
72859;Peter Campbell Gwinn;2002-08-29
72860;Victor S. Flauta, M.D.;2017-05-11
72861;Director of Undergraduate Studies Department of Philosophy Richard Francks;2006-02-19
72862;Alan Stuart;1938-04-03
72863;James Peery Schell;1961-08-14
72864;Nicholas M. Fisk;1940-06-08
72865;Michael Cole;2000-11-01
72866;Alexander Trocchi;1998-10-29
72867;Eliza Cross Castaneda;1906-01-24
72868;Irene Howat;1954-08-20
72869;Raymond O. Flagg;1950-06-30
72870;Anita Bryant;1982-03-09
72871;Fuchsia T. Pickett;2011-06-30
72872;Skrabanek;1958-11-18
72873;Peter James;2020-02-16
72874;Angus G. Garber;1942-09-09
72875;True Bowen;2001-01-22
72876;Stuart Baird;1984-01-17
72877;Robert Parker MacLeod;1900-12-26
72878;Karin Kraft;1912-10-24
72879;David Carlton;1954-12-09
72880;Carol Elizabeth Parrish-Harra;1992-02-19
72881;Mary King Waddington;1946-06-21
72882;Brian Knight;2004-04-29
72883;Michael R. Gordon;1971-05-18
72884;Shirley Barker;1919-05-29
72885;Arthur L. Gaskill;2010-03-01
72886;Kenny Rose Butts;1977-03-08
72887;Harry Woolridge;1966-01-15
72888;Philip Skingley;1907-04-04
72889;by Witton G. R;2012-07-07
72890;E. Lucy Braun;2005-09-30
72891;Richard Bowring;1992-10-04
72892;Scott Blackwood;1953-08-01
72893;Frances Pye;1972-12-15
72894;Adobe Team;1955-02-17
72895;Hugh Lamb;1979-03-16
72896;John McIntyre;1977-06-12
72897;Francine R. Johnston;1971-03-19
72898;Slavoj Žižek;1926-11-10
72899;Günther Binding;1988-08-22
72900;Cecilia Lindqvist;1916-05-16
72901;Hilaire Barnett;1983-01-30
72902;Meg Morgan;1967-07-25
72903;Denise McCluggage;1944-03-23
72904;Richard Charques;2002-11-10
72905;Davis;1907-08-25
72906;Bob Trask;1916-10-06
72907;Howard Schwartz;1953-12-01
72908;Humphrey Davy Findley Kitto;1907-12-27
72909;Jessel Miller;2009-10-07
72910;Marc T. Sewell;1972-09-18
72911;Alan Maley;1932-03-10
72912;F. M. Parker;1942-06-13
72913;Peter Thomson;1979-03-29
72914;etc.;1973-11-09
72915;Sue Robishaw;1923-08-04
72916;Jonathan Sutherland;1907-04-22
72917;John Singleton;1956-12-26
72918;Victoria Epperly;1917-06-18
72919;Mary Ann Woodward;1983-10-14
72920;Pia Mellody;1933-09-13
72921;Valerie Frankel;1986-08-03
72922;Jonellen Heckler;1926-06-19
72923;Gunter Berghaus;1934-01-19
72924;Karl Augustus Menninger;1983-01-04
72925;Norman A. Bert;1929-08-20
72926;Ann Lynn;1945-03-08
72927;Robert H. Phillips;2020-02-29
72928;Richard Andrew Lobban;1967-09-08
72929;Kevin J. Gardner;1945-01-24
72930;Meheroo Jussawalla;2007-04-02
72931;Terry Hope;1966-11-17
72932;Gay Henricks;2007-10-02
72933;Jim Mezzanotte;1978-05-06
72934;William E. Colford;1908-11-28
72935;Herbert Keppler;1953-11-06
72936;Derivatives Week;2003-02-05
72937;Valiska Gregory;1900-06-08
72938;Donald R Morris;1931-07-31
72939;John Calvin M. Brust;1959-06-16
72940;Jim Klobuchar;1904-04-29
72941;Louay M. Safi;1901-12-25
72942;Ian Millington;1980-12-22
72943;J.G. McKenzie;1986-05-11
72944;John Barrett Kelly;1944-05-27
72945;Travis Hudson;1977-03-15
72946;Kalisha Buckhanon;1971-05-01
72947;Robert L. Plummer;1942-12-11
72948;Malcolm Deeley;1939-12-25
72949;Carol Garhart Mooney;1954-04-28
72950;William R. Corson;1943-06-11
72951;Leif Hallberg;1994-07-31
72952;G. Stephenson;1955-02-14
72953;MA. Vieira;1942-02-27
72954;Austin Pryor;1928-10-06
72955;Richard Goldstein;1980-02-18
72956;Matt Summers;1912-08-22
72957;Sīsamō̜n Khongphan;1968-03-23
72958;Gillian Porter Ladousse;1936-06-26
72959;Ralph Nelson Elliott;1999-08-11
72960;Lucien Clergue;2015-05-05
72961;George Reid;1982-07-20
72962;Brian Keene;2021-09-24
72963;Larry White;1914-06-23
72964;Henri Troyat;1963-12-19
72965;Megan Cullis;1912-01-03
72966;Frank Lees;1940-08-07
72967;Copeland Marks;1906-08-20
72968;Stephen Piperno;1923-03-14
72969;Veronica Chambers;1945-10-03
72970;Bruce Moffat;1928-07-30
72971;Elizabeth Morris;2002-06-23
72972;Dorothy Baldwin;1984-08-19
72973;Moses I. Finley;1917-10-23
72974;Elizabeth P. Lawlor;1955-11-13
72975;Lily May Spaulding;1990-04-15
72976;Lester E. Fisher;1970-05-18
72977;Kathy J. Veroni;1967-11-15
72978;Brie Jones;1969-12-06
72979;Santosh Pande;1920-06-18
72980;George Myerson;1947-06-18
72981;Milada Anna Vachudova;1957-07-15
72982;William Cameron Forbes;1964-12-03
72983;Bob Frissell;1999-08-31
72984;Nicolas Grimal;1901-01-18
72985;Christopher Ogden;1928-03-31
72986;Jack G. Elder;1956-09-03
72987;Nancy Dale;1904-11-17
72988;William Appleman Williams;1913-12-18
72989;The Paris Review;1925-02-19
72990;Bernard S. Mason;1912-07-10
72991;Silas B. Birch;1928-08-24
72992;Donald McGibeny;1926-05-11
72993;Robin Nelson;1997-12-19
72994;Daniel Ryder;1990-05-17
72995;Thomas Graham, Jr.;1926-09-27
72996;Callie Hutton;1994-08-03
72997;Salvador Güereña;1945-04-15
72998;Ashley Vance;1932-09-22
72999;Bob Barnes;1901-02-22
73000;James Clifford;1972-04-08
73001;Caroline Courtney;1942-07-13
73002;Matt Kramer;1975-01-01
73003;Kim Kluger-Bell;1974-04-01
73004;Craig Leipold;1970-01-20
73005;Thomas Forsyth Hunt;1912-05-21
73006;Patricia Thomas;2013-05-21
73007;Mihail Marin;1970-05-22
73008;James Chace;1922-05-09
73009;Jennifer M. Brown;1978-09-05
73010;Randolph Paul Runyon;1920-06-01
73011;Lucie Lapovsky;1962-09-27
73012;Sarah Myers McGinty;1990-05-04
73013;Kenneth M. Beyer;1913-08-31
73014;Edward J. Rielly;1906-07-02
73015;Arthur K. Barnes;2008-12-03
73016;Karen Juanita Carrillo;1988-02-25
73017;Larry Upton;1971-05-01
73018;Bradley P. Barris, Ph.D.;1908-09-20
73019;Albert A. Will;1986-01-17
73020;C. Carr;1989-04-07
73021;Joyce Oldham Appleby;1976-08-29
73022;Willilam D. Banks;1998-02-11
73023;Norman Marshall;2008-01-26
73024;Margaret T. Jensen;1959-10-09
73025;Sam Stall;1995-08-23
73026;Ralph Blanchard;1918-12-18
73027;Ruth Allan Raymond;1985-09-22
73028;John A. Loomis;1975-04-12
73029;Kristin Mehus-Roe;2021-12-26
73030;James A. Tompkins;1955-07-06
73031;Markus Torgeby;1993-02-14
73032;William D. Hollands;2011-04-03
73033;Ina Ten Eyck Firkins;1975-06-12
73034;Shmuel N. Eisenstadt;1990-10-22
73035;Cynthia Cockburn;2015-09-08
73036; Joel Goldbach;1983-03-15
73037;Kerzner;1994-08-15
73038;Alfonso Romero;1927-04-06
73039;Hugh Hewitt;2003-01-18
73040;Geraldine Hertz;2000-08-12
73041;Doc Vega;1961-01-21
73042;John W. Dean;1956-08-10
73043;Katsunari Okamoto;1968-08-29
73044;Isidor F. Stone;1905-11-22
73045;Jos van der Zanden;1970-06-19
73046;Irwing M. Klotz;1907-05-19
73047;Mathew Woodruff;1946-03-27
73048;Norma J. Livo;1900-11-15
73049;Kerri Hawkins;2017-03-30
73050;Jill S. Moran;1944-06-23
73051;Katé Montgomery;1971-12-28
73052;Nancy Farmer;1950-12-22
73053;Sally Northway Ogden;1961-01-10
73054;Raymond Lamont-Brown;1974-07-21
73055;Theodore Christian Blegen;1927-03-11
73056;Terri Brisbin;1946-05-12
73057;Edwina Columbia;2019-09-09
73058;Stephen Burge Johnson;1948-12-16
73059;Roger Housden;1970-05-25
73060;Kevyn Jonas Lenfest;1949-06-06
73061;Doug Fleener;1912-09-16
73062;Glen Arnold;1982-12-31
73063;Garry Kilworth;1914-02-07
73064;Nell Goddin;1978-08-25
73065;J. O. Jeppson;1936-08-25
73066;Will Handzel;1958-03-18
73067;Dwight Thomas;1947-07-25
73068;Ashok Kumar;1929-09-26
73069;Theodor Rosebury;1976-12-04
73070;Luc Leestemaker;1993-10-22
73071;Robert S Levine;1956-11-22
73072;Barbara Leonie Picard;1921-06-29
73073;Ken Carey;1923-01-15
73074;Tom French;1908-07-22
73075;Shreve Stockton;1940-02-27
73076;Lesley Chamberlain;1905-03-03
73077;Thomas Wolf;1998-11-20
73078;Edouard Schuré;1919-10-09
73079;Sarah Ralph;1988-03-02
73080;Walter Ashlin Fairservis;1914-05-22
73081;Andrej Nikolaevi? Tikhonov (Mathematician);1975-12-14
73082;Edwin Morgan;1939-12-08
73083;Dorling Kindersley, Inc;1949-02-03
73084;Thomas Buergenthal;1960-05-20
73085;Stanislaw Lem;1945-06-25
73086;Cleo Hutton;1991-11-20
73087;Mikhail Sholokhov;1943-03-23
73088;Hans Kelsen (Rechtswissenschafter);1900-04-27
73089;Andrea Arnold;1971-04-22
73090;Frances K. Judd;1911-06-12
73091;Marjorie Eberts;1932-03-04
73092;Paul Elliott;1915-07-06
73093;Robert Coleman;1982-08-14
73094;S. J. Ackerman;1954-12-18
73095;Robert Barry;1947-07-19
73096;Olivier van Beemen;1982-06-03
73097;Mary Henthorne;1957-08-24
73098;Arthur Elam Haigh;1922-11-16
73099;Solomon Bennett Freehof;1977-04-15
73100;Ruth A. Tucker;2013-09-11
73101;Carol Lynn Pearson;2018-10-21
73102;Jan Hardy;1960-11-22
73103;Julien Offray de LaMettrie;2008-01-09
73104;John Maclay;1938-02-23
73105;Karsten Muller;1912-02-19
73106;Brenda Shriver;1919-11-06
73107;Nicole Thomas;2016-04-22
73108;Laurence A. Rickels;1915-02-13
73109;John William Rogerson;2010-05-25
73110;Richard Bode;1988-04-07
73111;Deri Robins;1909-03-21
73112;H. Stanley Huff;1900-11-20
73113;Katherine V. Forrest;1931-06-17
73114;Chris Adkins;1919-09-20
73115;Pam Fitzgerald;1914-10-22
73116;Vergil N. Slee;2005-05-16
73117;Lynne Withey;1976-05-13
73118;Nicholas Jose;2006-11-25
73119;Robert Falcon Scott;1921-01-26
73120;Tsutomu Akamatsu;1964-03-08
73121;Tiziana Baldizzone;1971-11-06
73122;James R. Nattinger;2021-06-12
73123;U. S. War Department;1938-05-12
73124;O. K. Bouwsma;2000-05-18
73125;Ethel Erickson;1909-10-28
73126;David Knox Barton;1962-09-09
73127;Miriam Nicklin;1906-11-13
73128;Edward Fry;1945-11-16
73129;Sasha Vodnik;1960-02-26
73130;Yamuna Devi;1932-09-18
73131;Gunhild Waldemar;2004-12-10
73132;Lawrence A. Tritle;2007-06-03
73133;Kelly L. Segraves;2014-11-06
73134;Christopher Burke;1925-01-16
73135;Donald Kagan;1943-02-10
73136;Leon Kass;2013-11-25
73137;Felicity Wigan;1970-01-21
73138;Fred Guida;1933-10-27
73139;Carolyn Byers;1982-06-16
73140;Dale McGowan;1975-03-15
73141;Roy Finamore;1986-05-26
73142;Robert Edwin Withers;1998-02-18
73143;Philip L. Carret;2014-09-30
73144;Carl Ludwig Wilibald Grimm;2003-05-13
73145;Mark Arax;1981-03-13
73146;Linda Amster;2012-11-18
73147;Rebecca Dresser;2001-11-16
73148;Brenda D. Smith;1913-05-18
73149;Duo Dickinson;1931-02-12
73150;Lucy Hart Paulson;1973-06-10
73151;Buwei Yang Chao;1939-08-31
73152;Peter Winnewisser;1973-01-15
73153;Aladdin Company;1981-12-22
73154;Charles Paschal Telesphore Chiniquy;1912-01-01
73155;Peter Hedström;1938-08-26
73156;Stephen Mark Rainey;1989-08-24
73157;E. Falk;1941-10-19
73158;Janet Jones Worley;2019-05-23
73159;Lorus;1937-03-24
73160;John Dessler;1984-02-19
73161;Stephen Bevans;1957-03-09
73162;Theodor Herzl;2016-03-24
73163;Reba Ann Karp;1910-02-26
73164;Sue Carpenter;1941-09-25
73165;Janann Sherman;1912-06-22
73166;Lucinda Jaconette;1903-09-27
73167;Jean Hull Herman;1916-12-26
73168;Ted Dicks;1926-03-06
73169;Thomas Heywood;1925-01-18
73170;Leon Cooper;2001-04-12
73171;Kevin J. Knoop;1931-07-31
73172;Carl Meissner;1971-12-06
73173;William E. Gardner;1993-05-31
73174;Maria Lofftus;1924-11-28
73175;Frederick Lenz;1938-06-26
73176;Penelope Leach;1926-08-24
73177;Driss Chraïbi;1949-11-01
73178;Wayne Martindale;1907-04-25
73179;Beverly Breton Carroll;1977-04-13
73180;Mahoma;1962-03-02
73181;Lynne Gordon-Mündel;1994-08-13
73182;N. M. Lalu;1923-07-04
73183;Hilary Hemingway;1903-01-10
73184;T E Lawrence;2018-10-28
73185;Richard Scott;1981-01-04
73186;Paul Ricoeur;2006-02-04
73187;John Ratzenberger;1965-09-23
73188;O.P. Gupta;1908-02-24
73189;Geoffrey Morley-Mower;1949-08-21
73190;Julie Summers;1926-08-14
73191;"an Peng""]";1984-07-14
73192;Fray Ramon Pané;1943-03-06
73193;John Pheby;1910-01-25
73194;Traci DePree;1917-08-12
73195;Michael D. Hayes;1934-08-06
73196;Jason Page;1916-01-21
73197;Anthony Elliott;2012-11-20
73198;James Barclay;1956-01-28
73199;Annabel Stehli;1971-07-02
73200;M. Hover;2004-06-27
73201;Robert L. Maddex;1951-10-03
73202;Linda Troost;1966-07-17
73203;Johanna Angermeyer;1973-05-31
73204;Louis Harrison;1968-05-28
73205;Ulrich Baer;1947-09-10
73206;Crispin Sartwell;1978-04-29
73207;Charles D. Pettibone;1993-06-04
73208;Ruth Myers;1949-05-20
73209;David Fisher;2013-08-28
73210;S. Paul Bunea;1915-01-16
73211;Jean Vuarnet;1900-03-15
73212;Jennifer Morris;1946-04-09
73213;John Stafford Gowland;2009-12-09
73214;Martin McCauley;1924-05-13
73215;George R. Esenwein;1990-01-29
73216;Muhammad Hasan Ibrahim;1970-11-22
73217;Roland Brown;1953-02-10
73218;Rene Desmarais;1970-12-16
73219;L Frank Baum;1906-02-28
73220;Sandra Palomino;1979-02-09
73221;Eleanor S. Foster Morrison (Virgil E.);1941-09-30
73222;Alva Johnston;1931-02-07
73223;Amerigo Marras;1927-03-29
73224;Annie M. Brown;2006-02-27
73225;Bruce Lohof;2008-10-15
73226;M. Saleh Uddin;1978-10-02
73227;William Dirk Raat;1905-03-10
73228;James Kakalios;1956-10-22
73229;Arthur E. Ostrander;1925-08-30
73230;Wes Craven;1909-04-01
73231;JoAnna Carl;1967-10-18
73232;Shira Stevens;1996-12-17
73233;Mary Ann Barnes Williams;1954-02-10
73234;Marina Nicholas;1916-06-17
73235;Gary Lee Hears;1963-01-04
73236;Jane Colhoff;1941-02-10
73237;Graham Hansen;1954-09-13
73238;William David Thomas;2007-09-20
73239;Vickie Jensen;1918-05-26
73240;Theodore B. Novey;2001-05-18
73241;Charles Gald Sibley;1922-08-28
73242;Mary E. Lyons;1994-11-02
73243;Samuel Harden Stille;2007-07-03
73244;Patrick Pringle;1910-12-18
73245;James W. Crissman;1907-12-07
73246;Phyllis Ann Solari-Twadell;1906-12-05
73247;Catalogue (Organization);1955-08-11
73248;Mark Link;1971-06-26
73249;Kathryn Sullivan Kruger;1960-09-24
73250;Richard Hewitt;1956-01-28
73251;Elizabeth Shown Mills;1906-09-25
73252;Jon Rosier;1982-01-10
73253;Greg Keith;1911-02-12
73254;Isao Yoshikawa;1944-02-26
73255;Tim Brookes;2014-02-27
73256;John F. Wilson;1986-07-03
73257;Beth A. Conklin;2005-02-14
73258;Albert Wang;1932-08-24
73259;Hubert H. Lamb;2013-07-16
73260;American Honey Institute;2015-06-03
73261;Dennis Hayes;2000-11-11
73262;Andrew Baldwin;1937-08-22
73263;Terry Stanfill;1939-04-05
73264;Ludolph of Saxony;1922-06-17
73265;Trisha Speed Shaskan;1902-08-29
73266;Associate Research Fellow Jad Adams;2008-04-17
73267;Tim Martyn;1952-07-15
73268;Allen F. Chew;1991-11-20
73269;Geoffrey Hughes;1929-12-06
73270;Eric M. Chevlen;2016-06-27
73271;Earl Ray Beck;1964-12-27
73272;Bill Phillips;1957-05-10
73273;Enzo Carli;1943-12-26
73274;Stanley Fahn;2019-07-16
73275;Ben Hobrink;1917-07-17
73276;Diana Landau;2020-07-11
73277;Nunzio DeFilippis;1924-10-09
73278;Marguerite Steen;1989-09-06
73279;Robert C. Berring;2006-05-30
73280;Lauren Thompson;1992-02-02
73281;George Montague ELLWOOD (and YERBURY (Francis Rowland));1937-01-20
73282;Carlos James Douglas;1913-11-09
73283;Martha L. Abell;1942-03-13
73284;Peter Bennett (N.D.);1912-11-18
73285;Clarence Blasier;1966-06-29
73286;Kristy Beers Fägersten;1921-06-14
73287;George Charles Pappas;1992-09-19
73288;Aoumiel;1943-11-28
73289;Gabriel F. Gargiulo;1925-12-10
73290;E. W. Richardson;2005-02-06
73291;Albert W. Thomas;1995-04-28
73292;Shirl Henke;1949-08-12
73293;Raisa Deber;1948-05-11
73294;Bradford Chambers;1923-05-08
73295;Charles I. Abramson;1955-03-16
73296;Laurel J. Brinton;1945-04-29
73297;Gail T. Fairhurst;2015-08-19
73298;Gene Brucker;1955-07-06
73299;M. O. Yuksel;2005-07-27
73300;Jean Bourges;1946-08-12
73301;Richard K. Spottswood;1907-11-22
73302;Caroline Davis;2012-06-18
73303;Ralph Stein;1927-03-19
73304;Embree De Persiis Vona;1908-10-31
73305;Allan Leinwand;1978-10-23
73306;Lawrence William Newman;1999-07-02
73307;HARLAN H. YORK;1989-06-25
73308;Robert Cronin;1914-10-26
73309;United States. Army. Corps of Engineers;1916-09-16
73310;Eugene F. Bales;1919-11-20
73311;Robin Laws;1932-01-29
73312;Louis Columbus;1964-07-28
73313;Ugo Monticone;1955-12-14
73314;James Peterson;1918-06-28
73315;Michael Sauers;1917-06-26
73316;Greil Marcus;1970-09-23
73317;Shmuel HaNagid;2021-06-01
73318;Margaret Alice Murray;1997-04-24
73319;Sophia Lee;1921-09-17
73320;Lorelei F. Fuchs;1998-06-14
73321;David R. Shaffer;1934-03-18
73322;Ken Hedges;1972-03-14
73323;England. Court of Chancery;1917-02-14
73324;Brock Stanley E.;2015-02-04
73325;David Johnston Malcolm;1919-10-18
73326;O. Robin Sweet;1957-09-29
73327;Ovid,;1977-08-08
73328;Jeanne Rosenberg;1999-05-31
73329;Jacky Hyams;1913-05-21
73330;F. Travis Boley;1995-07-19
73331;Hy S. Rothstein;1926-04-29
73332;Ann Thornhill;1963-11-09
73333;Laurie Rodrigues;1982-02-25
73334;Ian E Seed;1991-06-20
73335;Ann Miller;1946-04-26
73336;K. Margaret Inouye;1955-02-03
73337;Terry Kupers;1961-07-29
73338;William Alexander Graham;1928-01-27
73339;Bette Hochberg;1972-12-06
73340;Robertus Love;1964-09-20
73341;Ernest Henry Taves;1910-09-28
73342;Donna Smallin;1941-04-26
73343;Innovative Academic Solutions;1909-10-11
73344;" Information Bureau (U.S.)""]";2016-08-27
73345;Cairns Collection of American Women Writers;1905-05-11
73346;Elmer F. Farnham;1954-07-18
73347;Arthur Seldon;1984-06-03
73348;Samuel S. Holland;2019-05-03
73349;John Burnis Allred;1980-11-10
73350;Charles B. Handy;1975-06-29
73351;Richard P. Hallion;1922-12-31
73352;James H. Harlow;2006-12-02
73353;Jean Ensminger;1905-10-15
73354;Prefer;1991-11-12
73355;Baant Jer;1992-10-13
73356;Jacques B. Wallach;1939-03-01
73357;Richard Weisgrau;1938-11-01
73358;Tony Mitchell;1941-02-02
73359;William K. Hobart;1996-05-11
73360;John Holzhall;1975-05-04
73361;Trevor Hickman;1930-07-26
73362;Mildred de Szendeffy;2009-03-28
73363;David Chrisman (Colonel.);1907-05-24
73364;Ellis Nassour;1918-09-11
73365;Ajit Hutheesing;1999-05-16
73366;Andrew E. Scharlach;1956-04-27
73367;Great Britain. Court of Common Pleas;1983-10-08
73368;Williamsburg Investment Co.;1988-03-12
73369;Alan Prendergast;1915-02-28
73370;Craig S. Walker;1942-10-28
73371;Trong Phung Vu;1941-02-14
73372;Gil Nelson;1907-07-11
73373;Katherine Wiesendanger;2006-09-22
73374;Mark Lindquist;1911-12-08
73375;William J. Morford;1910-03-12
73376;John Losey;1986-10-10
73377;Mike;1919-11-08
73378;Kevin Dilmore;1956-03-24
73379;Britannica home university;1932-12-21
73380;Terry Evans;2013-06-06
73381;Michele Margittai;1921-03-27
73382;Brad McRae;1908-11-17
73383;Carle Conway;1930-07-31
73384;Ed Finn;1902-09-12
73385;Bernard Winter;2008-06-30
73386;E. M. Nolbay;2015-12-25
73387;George E. Rice;2003-09-15
73388;Edward Domenic Re;1947-08-31
73389;Yvonne M. Bishop;1990-02-22
73390;Maarten Stefanski;1956-04-03
73391;Wallace Bruce;2015-06-15
73392;Ladybird (COR);2009-03-22
73393;Tom Stonier;1907-07-03
73394;Alvin L. Evans;1994-05-14
73395;Alan Patten;1951-07-22
73396;Beverly Deepe Keever;1909-06-23
73397;Kirsten Holmes;2009-12-01
73398;Luke Sunderland;1976-11-06
73399;Damian Allen;1985-06-02
73400;Erica Smith;2018-04-28
73401;Adam Kuper;1926-11-01
73402;Becky Conrad;1965-12-24
73403;Wilson J. Washington Jr.;1971-11-24
73404;Rory Sullivan;1961-05-11
73405;Kelli G. Deister;1975-01-12
73406;Theodore Lyman;1957-03-05
73407;Winfield Scott;1971-10-29
73408;Robert Boyd Munger;2004-04-21
73409;Robert W. Firestone;1992-04-10
73410;Veronica Heley;1943-01-01
73411;Priscilla Delgado;1948-12-19
73412;Stuart Stevens;1981-02-10
73413;"s Studies Program University of Illinois""]";1910-04-11
73414;Larry Cribb;1990-05-03
73415;Susan Louise Wilson;2001-05-05
73416;Tom Madigan;1919-05-31
73417;V. I. Pudovkin;1903-08-29
73418;Ethel Florence Lindesay Robertson;1983-10-17
73419;James A. Gibbs;1928-08-21
73420;Lesley-Anne;1931-08-17
73421;Mel Blackaby;2000-05-01
73422;Deidre Johnson;1913-11-10
73423;Elisabeth Sanxay Holding;1930-07-29
73424;Sharon Schnupp Kuepfer;1997-02-20
73425;Rasa Gustaitis;1977-03-13
73426;Carl Shipman;1934-07-31
73427;Estelle F. Sinclaire;1967-03-23
73428;Peter Goadby;1983-01-29
73429;Michael Goulding;1910-08-31
73430;Desmond Rochfort;2009-07-22
73431;Jessica L. Maricle RN, Reiki Master Holy Fire;2004-03-24
73432;Donald M. Goldstein;1977-08-27
73433;Brett Harvey;1902-11-01
73434;Gail Levin;1965-06-02
73435;Rose Barling;1969-03-04
73436;Tony Carnes;1934-03-23
73437;Alexander Haggerty Krappe;1933-12-31
73438;Henry Slesar;1902-02-18
73439;Attila Jozsef;1974-01-08
73440;Debby Atwell;1969-01-29
73441;Richardson Little Wright;1932-12-30
73442;United States. Board for testing iron, steel and other metals;2014-03-19
73443;Marion D. March;1960-05-03
73444;Doug Moseley;2006-11-16
73445;Suzanne Guy;1988-12-04
73446;Ning Zhong;1921-01-11
73447;Stacey Chillemi;1986-05-05
73448;George A. Uhimchuk;2016-12-28
